src,dst,edge_type,rule_id,confidence,evidence
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcBeam_3jZHeNcfvDMf9wG$wx9XqG,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcDoor_1Oms875aH3Wg$9l65H2ZGw,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcDoor_0pGAjlJMP3ifYPATVF5xAR,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcDoor_2qiPPF3FrF8OIqfrKiSUqm,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcDoor_2jTRqchjf7oB0yhQ6462T0,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcDoor_1M$gxUrX1Fiwe3P64ww7U5,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_0oTQ6V1VbChulreA_hfmUa,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_1tpUOcVEPCGgFqSz0VbniQ,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_1ulHlNTuj798Os3k9phhVC,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_1OckORehXEoB_KILQGJao5,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_0nsN_jkIrBQBuGFMg_zMEg,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_31Quw2HAvFqv$9_JgCuemp,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_35W3cFc4L7MhJR0gIk9uis,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_3F58AqxJfF$QkuoceQhWg3,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_1nGDFBBHvBJ9NmlweQO0fX,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_3qFc3Wrr9BBPJyb2wB$4Ra,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_37ab3q_iz8XRterfnMKTQX,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_3xdLwxTMD7bw4hWoOQL41M,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_2OHMT7B69F5PRG_f3rMcjF,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_34zPS2PUTBDOe7g7RIRXK0,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_0q1clcN4jF4gdikC9OySy7,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_36KGWr2Rv8QuUhNnocm2nH,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_3iSL8frGLDweFar9j4zgJ_,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_23pmL_2aH88OVqWp_5Lfkf,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_06JZMOVBX8VucSQwQ3o$8d,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_31ry3UPYD7weLluBlhQxXZ,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_20AsUDMgH0JwAitydKgsOm,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_2SfSpj_pX9nvTeCOxeKqTd,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_17MHCgVYn2YPLX56yXUJbL,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_2XyYurmzzDOAIoZ52R97Jm,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_0hRh9WB$jCLwlAiq3vfmg9,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_1NBDw_i_jD$u7IjvwmbPmx,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_2DH$OLoObDkAtwqVzNdUnS,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_1qMEiq1Qz6guq8g1GCODiJ,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_2AxITdtlD1h9Y3ye8U93bV,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_0DTRkEz0r6gvzG6VdDr24n,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_3UTqpydzf7i8J6iMY2tHil,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_3CS1rsE3bB7vMHAdjyaamh,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_2jBFZiQw110vV7XY77KKfx,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcMember_3EgsECVVb6zQXnK3YFcWAu,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcRailing_0o5vgCKyTBzO5$QJcI2YDP,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcRailing_09axaKU7X1_O8n6dmmiZ1E,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcSlab_07Enbsqm9C7AQC9iyBwfSD,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcSlab_2IxUUNUVPB6Ob$eicCfP2N,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcStair_38a9vdh9bF5Qg28GWyHhlr,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcWallStandardCase_2XPyKWY018sA1ygZKgQPtU,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcWallStandardCase_3PfS__Y_DBAfq5naM6zD2Z,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcWallStandardCase_2ptk1k7qn8_Qk22vjh$0DE,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcWallStandardCase_3jjW3rL656ex34Gws22EfM,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcWallStandardCase_1$wmdwWPjDYuku_ghVkynE,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcWallStandardCase_3rPX_Juz59peXXY6wDJl18,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcWallStandardCase_16DNNqzfP2thtfaOflvsKA,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcWallStandardCase_25fsbPyk15VvuXI$yNKenK,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcWallStandardCase_1bzfVsJqn8De5PukCrqylz,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcWallStandardCase_0knNIAVBPBFvBy_m5QVHsU,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcWallStandardCase_25OWQvmXj5BPgyergP43tY,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcWallStandardCase_3VCarUKgH1buLo22Ozxe6J,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcWallStandardCase_3Ttjr$59XEWfWN1WUHjelZ,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcWindow_1srAI$R4T8ihLXSNHmUSET,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcWindow_0B1RwEzzP3CfME5NR$Vqh5,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcWindow_25nJxEpYf8LRDJNkMUVO0m,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcWindow_3BFcylCsX74PQAoRAe5fNv,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcWindow_13aSY79zb8fP4HApEJ0z_e,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcWindow_2EQh_jhP1B_A_AMuSJc5E0,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcWindow_1TAI4ouKX4Xx4lBDZIu5qM,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcWindow_2Q9w7oRXP249jBobEMVqlZ,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_1pPHnf7cXCpPsNEnQf8_6B,IfcWindow_1DiYqhfzH9xxuJdVHwXCNa,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcWindow_1zOBw0Gej5Wf0QAJfHnOc0,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcSlab_2RGlQk4xH47RHK93zcTzUL,IfcWindow_2ACmFFQhT1Ouf0x4YRUh9m,requires_before,R1_SLAB_BEFORE_ABOVE,0.75,above|has_type
IfcWallStandardCase_3PfS__Y_DBAfq5naM6zD2Z,IfcDoor_1Oms875aH3Wg$9l65H2ZGw,requires_before,R2_WALL_BEFORE_DOOR,0.85,adjacent|has_type|in_storey
IfcWallStandardCase_3jjW3rL656ex34Gws22EfM,IfcDoor_2qiPPF3FrF8OIqfrKiSUqm,requires_before,R2_WALL_BEFORE_DOOR,0.85,adjacent|has_type|in_storey
IfcWallStandardCase_3rPX_Juz59peXXY6wDJl18,IfcDoor_2jTRqchjf7oB0yhQ6462T0,requires_before,R2_WALL_BEFORE_DOOR,0.85,adjacent|has_type|in_storey
IfcWallStandardCase_16DNNqzfP2thtfaOflvsKA,IfcDoor_1M$gxUrX1Fiwe3P64ww7U5,requires_before,R2_WALL_BEFORE_DOOR,0.85,adjacent|has_type|in_storey
IfcWallStandardCase_3jjW3rL656ex34Gws22EfM,IfcDoor_0pGAjlJMP3ifYPATVF5xAR,requires_before,R2_WALL_BEFORE_DOOR,0.85,adjacent|has_type|in_storey
IfcWallStandardCase_3jjW3rL656ex34Gws22EfM,IfcDoor_2qiPPF3FrF8OIqfrKiSUqm,requires_before,R2_WALL_BEFORE_DOOR,0.85,adjacent|has_type|in_storey
IfcWallStandardCase_3rPX_Juz59peXXY6wDJl18,IfcDoor_2jTRqchjf7oB0yhQ6462T0,requires_before,R2_WALL_BEFORE_DOOR,0.85,adjacent|has_type|in_storey
IfcWallStandardCase_3PfS__Y_DBAfq5naM6zD2Z,IfcDoor_1Oms875aH3Wg$9l65H2ZGw,requires_before,R2_WALL_BEFORE_DOOR,0.85,adjacent|has_type|in_storey
IfcWallStandardCase_3jjW3rL656ex34Gws22EfM,IfcDoor_0pGAjlJMP3ifYPATVF5xAR,requires_before,R2_WALL_BEFORE_DOOR,0.85,adjacent|has_type|in_storey
IfcWallStandardCase_16DNNqzfP2thtfaOflvsKA,IfcDoor_1M$gxUrX1Fiwe3P64ww7U5,requires_before,R2_WALL_BEFORE_DOOR,0.85,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_31Quw2HAvFqv$9_JgCuemp,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_2OHMT7B69F5PRG_f3rMcjF,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_0q1clcN4jF4gdikC9OySy7,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_20AsUDMgH0JwAitydKgsOm,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_0hRh9WB$jCLwlAiq3vfmg9,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_34zPS2PUTBDOe7g7RIRXK0,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_06JZMOVBX8VucSQwQ3o$8d,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_0nsN_jkIrBQBuGFMg_zMEg,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_3jZHeNcfvDMf9wG$wx9XqG,IfcMember_1qMEiq1Qz6guq8g1GCODiJ,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_3xdLwxTMD7bw4hWoOQL41M,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_3jZHeNcfvDMf9wG$wx9XqG,IfcMember_3CS1rsE3bB7vMHAdjyaamh,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_2OHMT7B69F5PRG_f3rMcjF,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_0nsN_jkIrBQBuGFMg_zMEg,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_2in0QvfYXEawl1f3MP1bq2,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_0oTQ6V1VbChulreA_hfmUa,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_3xdLwxTMD7bw4hWoOQL41M,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_2OHMT7B69F5PRG_f3rMcjF,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_22oN_bO9T4jO5eG4GKW7be,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_2SfSpj_pX9nvTeCOxeKqTd,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_2CxE0$jXr8iOH1VC2gLCXX,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_3jZHeNcfvDMf9wG$wx9XqG,IfcMember_3ePWkSzvLApwXTt3b0I2nV,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_0q1clcN4jF4gdikC9OySy7,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_0oTQ6V1VbChulreA_hfmUa,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_3F58AqxJfF$QkuoceQhWg3,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_23pmL_2aH88OVqWp_5Lfkf,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_3qFc3Wrr9BBPJyb2wB$4Ra,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_3jZHeNcfvDMf9wG$wx9XqG,IfcMember_0hRh9WB$jCLwlAiq3vfmg9,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_0VzptM87L6uOjQj08tTXIQ,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_3CS1rsE3bB7vMHAdjyaamh,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_3jZHeNcfvDMf9wG$wx9XqG,IfcMember_06JZMOVBX8VucSQwQ3o$8d,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_1nGDFBBHvBJ9NmlweQO0fX,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_3jZHeNcfvDMf9wG$wx9XqG,IfcMember_20AsUDMgH0JwAitydKgsOm,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_3qFc3Wrr9BBPJyb2wB$4Ra,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_31ry3UPYD7weLluBlhQxXZ,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_1ulHlNTuj798Os3k9phhVC,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_0OKCG9uG53i9K16_x3YNfz,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_3jZHeNcfvDMf9wG$wx9XqG,IfcMember_2SfSpj_pX9nvTeCOxeKqTd,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_3EgsECVVb6zQXnK3YFcWAu,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_1ulHlNTuj798Os3k9phhVC,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_1ulHlNTuj798Os3k9phhVC,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_3jZHeNcfvDMf9wG$wx9XqG,IfcMember_22oN_bO9T4jO5eG4GKW7be,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_3EgsECVVb6zQXnK3YFcWAu,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_3jZHeNcfvDMf9wG$wx9XqG,IfcMember_2jBFZiQw110vV7XY77KKfx,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_3CS1rsE3bB7vMHAdjyaamh,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_0oTQ6V1VbChulreA_hfmUa,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_31Quw2HAvFqv$9_JgCuemp,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
